РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Прочая литература	Книги	1		БИБЛИОГРАФИЧЕСКОЕ ОПИСАНИЕ ЭЛЕКТРОННЫХ РЕСУРСОВ Методические рекомендации	Бахтурина Т.А. и др. Библиографическое описание электронных ресурсов. М., 2001. 35 с			other	библиографическое описание электронных ресурсов#0001.zip
Прочая литература	Книги	2		БИБЛИОТЕЧНО-БИБЛИОГРАФИЧЕСКАЯ КЛАССИФИКАЦИЯ ТЕОРИЯ И ПРАКТИКА	Библиотечно-библиографическая классификация: Теория и практика. Тр./ Гос. б-ка СССР им. В. И. Ленина. - М.: 1990. - Т. 23. - 223 с.			other	библиотечно-библиографическая классификация теория и практика#0002.zip
Прочая литература	Разное	3		Воронежский край. Памятные даты на 2005 год	"Воронежский край. Памятные даты на 2005 год / ВОУНБ им И. С. Никитина; Сост. Б.А.Фирсов; Под ред. А.Н.Акиньшина. Воронеж, 2004. 153 с."			other	воронежский край. памятные даты на 2005 год#0003.zip
Прочая литература	Разное	4		Рок Библиотека				other	рок библиотека#0004.zip
Прочая литература	Разное	5	KroMvEL	Коктейли				other\kromvel	Коктейли#0005zip
Прочая литература	Разное	6	KroMvEL	Напитки				other\kromvel	Напитки#0006zip
Прочая литература	Фокусы	7	Акопян А.А.	Даю уроки волшебства				other\акопян а.а.	Даю уроки волшебства#0007zip
Прочая литература	Фокусы	8	Акопян А.А.	Фокусы от Амаяка Акопяна (часть 1)				other\акопян а.а.	Фокусы от Амаяка Акопяна (часть 1)#0008zip
Прочая литература	Фокусы	9	Акопян А.А.	Фокусы от Амаяка Акопяна (часть 2)				other\акопян а.а.	Фокусы от Амаяка Акопяна (часть 2)#0009zip
Прочая литература	Книги	10	Антонова.	редакторская подготовка изданий.				other	антонова._редакторская подготовка изданий#000A.zip
Прочая литература	Разное	11	Бунковская З.П.	Лучшие сочинения прозаXIX века	Бунковская 3. П. Б 91 Лучшие сочинения: прозаXIX века/ Серия <Библиотека школьника>. - Ростов н/Д.: Феникс, 2003. - 320 с.	Библиотека школьника		other	бунковская з.п._лучшие сочинения прозаxix века#000B.zip
Прочая литература	Фокусы	12	Вадимов А.А.	Искусство фокуса				other	вадимов а.а._искусство фокуса#000C.zip
Прочая литература	Разное	13	Гиппиус З.Н	ЗАДУМЧИВЫЙ СТРАННИК (О РОЗАНОВЕ)				other	гиппиус з.н_задумчивый странник (о розанове)#000D.zip
Прочая литература	Книги	14	Калинин С. Ю.	Как правильно оформить выходные сведения издания : Пособие для издателя	"     Калинин С. Ю.
     К17 Как правильно оформить выходные  сведения  издания  :  Пособие  для издателя / С. Ю. Калинин ; Моск. гос. ун-т печати. - 2-е  изд.,  перераб.  и доп. - М.: МГУП, 2001. - 224 с. - (Книжный бизнес. Отечественный опыт).

В  книге  старшего  научного  сотрудника  Российской  книжной   палаты, кандидата педагогических наук  С.  Ю.  Калинина  подробно  изложены  правила приведения и оформления выходных сведений  книг,  нотных,  картографических, изоизданий,  периодических  и продолжающихся  изданий.  Изложение  основных требований    стандартов    по    издательскому    делу    проиллюстрировано многочисленными  примерами.  Особое   внимание   уделено   сложным   случаям приведения выходных сведений.
     Адресовано издателям, может быть использовано студентами,  обучающимися по специальностям издательского дела и книжного бизнеса.
     Первое издание пособия вышло в 1997 году под названием  ""Как  правильно оформить выходные сведения книги""."	Книжный бизнес. Отечественный опыт		other	калинин с. ю._как правильно оформить выходные сведения издания#000E.zip
Прочая литература	Разное	15	Коceнко А.	100 и 1 романтическая идея				other	коceнко а._100 и 1 романтическая идея#000F.zip
Прочая литература	Разное	16	Кочерга А.И. Ковтуненко Л.Я. Подъяблонская Л.М.	Хлеб на обеденном столе				other	кочерга а.и. ковтуненко л.я. подъяблонская л.м._хлеб на обеденном столе#000G.zip
Прочая литература	Разное	17	Логвин Е.	КАК ОСВОИТЬ СЛЕПОЙ ДЕСЯТИПАЛЬЦЕВЫЙ МЕТОД НАБОРА ТЕКСТА				other	логвин е._как освоить слепой десятипальцевый метод набора текста#000H.zip
Прочая литература	Фокусы	18	Обрезков Ю.	Карточные фокусы	Ю. Обрезков. Карточные фокусы. 1991.			other	обрезков ю._карточные фокусы#000I.zip
Прочая литература	Разное	19	Полутин А.	Тайна острова Оук				other	полутин а._тайна острова оук#000J.zip
Прочая литература	Разное	20	Сергеев В.И.	Плетение из соломки от деда Василия				other	сергеев в.и._плетение из соломки от деда василия#000K.zip
Социально-гуманитарная литература	Философия	21	Смотрицкий Е.Ю.	Сборник				hum\смотрицкий е.ю.	Сборник#000Lzip
Прочая литература	Разное	22	Стаут Р.	Поваренная книга Ниро Вульфа				other	стаут р._поваренная книга ниро вульфа#000M.zip
Прочая литература	Разное	23	Фрейман А.А.	КРАТКИЙ КУРС ПИРОТЕХНИКИ	ГОСУДАРСТВЕННОЕ ИЗДАТЕЛЬСТВО ОБОРОННОЙ ПРОМЫШЛЕННОСТИ ______________________________________ Москва 1940			other	фрейман а.а._краткий курс пиротехники#000N.zip
Прочая литература	Фокусы	24	Хоффман	Современная магия	Профессор Хоффман - Современная магия			other	хоффман_современная магия#000O.zip
Прочая литература	Разное	25	Шидловский А.А.	ОСНОВЫ ПИРОТЕХНИКИ	Шидловский А. А. Основы пиротехники. М., <Машиностроение>, 1973.			other	шидловский а.а._основы пиротехники#000P.zip
Прочая литература	Эзотерика	26		ПРАКТИЧЕСКИЙ ФЭН-ШУЙ				other	практический фэн-шуй#000Q.zip
Прочая литература	Эзотерика	27	Александров А.Ф.	Дата рождения ключ к пониманию человека				other	александров а.ф._дата рождения ключ к пониманию человека#000R.zip
Прочая литература	Эзотерика	28	АльфиЛявуа	Потеряй эту книгу и найди ее с помощью хорарной астрологии				other	альфилявуа_потеряй эту книгу и найди ее с помощью хорарной астрологии#000S.zip
Прочая литература	Эзотерика	29	АППЕЛБИ Д.	ХОРАРНАЯ АСТРОЛОГИЯ				other	аппелби д._хорарная астрология#000T.zip
Прочая литература	Эзотерика	30	Беннет	СВЯЗЬ МЕЖДУ СЕКСОМ И ДУХОВНЫМ РАЗВИТИЕМ				other	беннет_связь между сексом и духовным развитием#000U.zip
Прочая литература	Эзотерика	31	Вебстер Р.	Астральные путешествия для начинающих				other	вебстер р._астральные путешествия для начинающих#000V.zip
Прочая литература	Эзотерика	32	Вольгюин А.	Метод солнечных обращений				other	вольгюин а._метод солнечных обращений#000W.zip
Прочая литература	Эзотерика	33	Гроф С., Хэлифакс Д.	Человек перед лицом смерти.				other	человек перед лицом смерти#000X.zip
Прочая литература	Эзотерика	34	Гурджиев Г.И.	Все и вся.				other	гурджиев г.и._все и вся#000Y.zip
Прочая литература	Эзотерика	35	ДОННЕР Ф	ЖИЗНЬ-В-СНОВИДЕНИИ (ПОСВЯЩЕНИЕ В МИР МАГОВ)				other	доннер ф_жизнь-в-сновидении (посвящение в мир магов)#000Z.zip
Прочая литература	Эзотерика	36	Дхирендра Брахмачари	Йога - Сукшма - Вьяяма 2000				other	дхирендра брахмачари_йога - сукшма - вьяяма 2000#000a.zip
Прочая литература	Эзотерика	37	Марч М., Мак-Эверс Дж.	ЛУЧШИЙ СПОСОБ ВЫУЧИТЬ АСТРОЛОГИЮ				other	лучший способ выучить астрологию#000b.zip
Прочая литература	Эзотерика	38	МЕРРЕЛЛ-ВОЛЬФ Ф.	ПУТИ В ИНЫЕ ИЗМЕРЕНИЯ (Личная запись преображения сознания)				other	меррелл-вольф ф._пути в иные измерения#000c.zip
Прочая литература	Эзотерика	39	Мулдашев Э.Р.	I. РазныеРазности		в поисках города богов	1	other\Мулдашев Э.Р.\в поисках города богов	I. РазныеРазности#000d.zip
Прочая литература	Эзотерика	40	Мулдашев Э.Р.	II. Золотые пластины Харати		в поисках города богов	2	other\Мулдашев Э.Р.\в поисках города богов	II. Золотые пластины Харати#000e.zip
Прочая литература	Эзотерика	41	Мулдашев Э.Р.	III. В объятиях Шамбалы		в поисках города богов	3	other\Мулдашев Э.Р.\в поисках города богов	III. В объятиях Шамбалы#000f.zip
Прочая литература	Эзотерика	42	Мулдашев Э.Р.	I. Встреча с мастером		от кого мы произошли	1	other\Мулдашев Э.Р.\от кого мы произошли	I. Встреча с мастером#000g.zip
Прочая литература	Эзотерика	43	Мулдашев Э.Р.	II. Что сказали тибетские ламы		от кого мы произошли	2	other\Мулдашев Э.Р.\от кого мы произошли	II. Что сказали тибетские ламы#000h.zip
Прочая литература	Эзотерика	44	Нострадамус М.	ЦЕНТУРИИ				other	нострадамус м._центурии#000i.zip
Прочая литература	Эзотерика	45	Ноэль Тиль	Астрологическое предсказание опасных болезней				other\ноэль тиль	Астрологическое предсказание опасных болезней#000jzip
Прочая литература	Эзотерика	46	Ноэль Тиль	Астрологическое творчество				other\ноэль тиль	Астрологическое творчество#000kzip
Прочая литература	Эзотерика	47	Подводный А.	ЗНАКИ НА ПУТИ				other	подводный а._знаки на пути#000l.zip
Прочая литература	Эзотерика	48	Сатпрем	РАЗУМ КЛЕТОК				other\сатпрем	РАЗУМ КЛЕТОК#000mzip
Прочая литература	Эзотерика	49	Сатпрем	Шри Ауробиндо, или Путешествие Сознания				other\сатпрем	Шри Ауробиндо, или Путешествие Сознания#000nzip
Прочая литература	Эзотерика	50	Сельчёнок К.	АСТРОЛОГИЧЕСКОЕ ТОЛКОВАНИЕ РУН				other	сельчёнок к._астрологическое толкование рун#000o.zip
Прочая литература	Эзотерика	51	Татаров Н.М.	Светопреставление				other	татаров н.м._светопреставление#000p.zip
Прочая литература	Эзотерика	52	Холл М.П.	Оккультная анатомия				other	холл м.п._оккультная анатомия#000q.zip
Прочая литература	Эзотерика	53	Шульман М.	Кармическая астрология: Том III				other\шульман м.	Кармическая астрология- Том III#000rzip
Прочая литература	паранаука	54		Крик мамонта. Сборник.	Крик мамонта. Сборник.- М., ОБЩЕСТВО ПО ИЗУЧЕНИЮ ТАЙН И ЗАГАДОК ЗЕМЛИ, 1991. 224 с. с ил.			other	крик мамонта. сборник#000s.zip
Прочая литература	паранаука	55	ВашкевичН. Н.	Симия: раскрытие смысла слов, поступков, явлений. Учебник для начинающих. Часть 1	"Николай Николаевич Вашкевич
СИМИЯ
Раскрытие смысла слов, поступков, явлений
Учебник для начинающих 
ЧАСТЬ I 
«Белые альвы», 2002. (7519)
"			other	вашкевичн. н._симия - раскрытие смысла слов, поступков, явлений. часть 1#000t.zip
Прочая литература	паранаука	56	Виллолдо А.	Исправление прошлого и исцеление будущего с помощью практики восстановления души				other\виллолдо а.	Исправление прошлого и исцеление будущего с помощью практики восстановления души#000uzip
Прочая литература	паранаука	57	Виллолдо А.	Как исцелить себя и других с помощью энергетических практик американских шаманов.	Пер. с англ. К. Семенов.К.: <София>. М.: ИД <Гелиос>, 2001 256 с.			other\виллолдо а.	Как исцелить себя и других с помощью энергетических практик американских шаманов.#000vzip
Прочая литература	паранаука	58	Виноградова. Д.	Неандерталец жив				other	виноградова. д._неандерталец жив#000w.zip
Прочая литература	паранаука	59	Глаз А., Апанаскевич А.	Сфера Разума. Основы биоэнергоинформатики	Александр Глаз, Андрей Апанаскевич - Сфера Разума. Основы биоэнергоинформатики 2004			other	сфера разума. основы биоэнергоинформатики#000x.zip
Прочая литература	паранаука	60	Кузовкин А.С., Непомнящий Н.Н.	В объективе-НЛО				other	в объективе-нло#000y.zip
Прочая литература	паранаука	61	Морозов Ю.Н.	Следы древних астронавтов				other	морозов ю.н._следы древних астронавтов#000z.zip
Прочая литература	паранаука	62	Непомнящий Н.Н.	ВРЕМЯ - НАЗАД	"Непомнящий Н.Н. ВРЕМЯ - НАЗАД (XX век: Хроника необъяснимого). - М., """"Олимп"", ""Астрель"", ""АСТ"", 2000 г."	XX век - Хроника необъяснимого		other\Непомнящий Н.Н.\XX век - Хроника необъяснимого	ВРЕМЯ - НАЗАД#0010zip
Прочая литература	паранаука	63	Непомнящий Н.Н.	ЗООПАРК ДИКОВИН НАШЕЙ ПЛАНЕТЫ		энциклопедия загадочного и неведомого		other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	ЗООПАРК ДИКОВИН НАШЕЙ ПЛАНЕТЫ#0011zip
Прочая литература	паранаука	64	Непомнящий Н.Н.	НЕОБЪЯСНИМЫЕ ЯВЛЕНИЯ	"Непомнящий Н.Н. НЕОБЪЯСНИМЫЕ ЯВЛЕНИЯ (Энциклопедия загадочного и неведомого).- М., ""Олимп-АСТ"", 1997 г."	энциклопедия загадочного и неведомого		other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	НЕОБЪЯСНИМЫЕ ЯВЛЕНИЯ#0012zip
Прочая литература	паранаука	65	Непомнящий Н.Н.	По следам великанов	"Непомнящий Н.Н. ПО СЛЕДАМ ВЕЛИКАНОВ (Энциклопедия загадочного и неведомого).-М., ""Олимп-ACT"", 1998 г."	энциклопедия загадочного и неведомого		other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	По следам великанов#0013zip
Прочая литература	паранаука	66	Непомнящий Н.Н.	ПРОКЛЯТИЕ ВЕЩЕЙ И ПРОКЛЯТЫЕ МЕСТА	"Непомнящий Н.Н. ПРОКЛЯТИЕ ВЕЩЕЙ И ПРОКЛЯТЫЕ МЕСТА (XX век: Хроника необъяснимого).- М., ""Олимп"", ""Астрель"", ""ACT"", 2000"	XX век - Хроника необъяснимого		other\Непомнящий Н.Н.\XX век - Хроника необъяснимого	ПРОКЛЯТИЕ ВЕЩЕЙ И ПРОКЛЯТЫЕ МЕСТА#0014zip
Прочая литература	паранаука	67	Непомнящий Н.Н.	Странники Вселенной	"Непомнящий Н. Н. Н53 Странники Вселенной.-М.: Олимп; 000 ""Фирма ""Издательство ACT"", 1999. - 544 с.: ил. (Энциклопедия загадочного и неведомого)."	энциклопедия загадочного и неведомого		other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	Странники Вселенной#0015zip
Прочая литература	паранаука	68	Непомнящий Н.Н.	ХХ ВЕК: ХРОНИКА НЕОБЪЯСНИМОГО. ГОД ЗА ГОДОМ	"Непомнящий Н.Н. ХХ ВЕК: ХРОНИКА НЕОБЪЯСНИМОГО. ГОД ЗА ГОДОМ.- , ""Олимп-АСТ"", 1997"	XX век - Хроника необъяснимого		other\Непомнящий Н.Н.\XX век - Хроника необъяснимого	ХХ ВЕК- ХРОНИКА НЕОБЪЯСНИМОГО. ГОД ЗА ГОДОМ#0016zip
Прочая литература	паранаука	69	Непомнящий Н.Н.	Гигантский морской змей.	Непомнящий Н. Н. Энциклопедия загадочного и неведомого III. Гигантский морской змей. М.: <Издательство <Олимп>, <Издательство ACT>, 2001.	энциклопедия загадочного и неведомого	3	other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	Гигантский морской змей.#0017zip
Прочая литература	паранаука	70	Непомнящий Н.Н.	По следам морского змея. ч.1	Непомнящий Н. Н. Энциклопедия загадочного и неведомого IV. По следам морского змея. М.: <Издательство <Олимп>, <Издательство ACT>, 2001.	энциклопедия загадочного и неведомого	4	other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	По следам морского змея. ч.1#0018zip
Прочая литература	паранаука	71	Непомнящий Н.Н.	По следам морского змея. Ч.2	Непомнящий Н. Н. Энциклопедия загадочного и неведомого IV. По следам морского змея. М.: <Издательство <Олимп>, <Издательство ACT>, 2001.	энциклопедия загадочного и неведомого	4	other\Непомнящий Н.Н.\энциклопедия загадочного и неведомого	По следам морского змея. Ч.2#0019zip
Прочая литература	паранаука	72	Рэндлз Дж.	БУРИ ВРЕМЕНИ				other	рэндлз дж._бури времени#001A.zip
Прочая литература	паранаука	73	Чернобров В.А.	СУЩЕСТВУЮТ ВОПРЕКИ ЛОГИКЕ.				other	чернобров в.а._существуют вопреки логике#001B.zip
Прочая литература	паранаука	74	Шуринов Б.	Загадка Розуэлла				other	шуринов б._загадка розуэлла#001C.zip
Прочая литература	Спорт	75		Учебник верховой езды				other	учебник верховой езды#001D.zip
Прочая литература	Спорт	76	Белов А.К.	Славяно-горицкая борьба. Часть 2 Искусство атаки.				other	белов а.к._славяно-горицкая борьба. часть 2 искусство атаки#001E.zip
Прочая литература	Вождение	77	Богданов О.,Цыганков Э.	Основы мастерства				other	основы мастерства#001F.zip
Прочая литература	Спорт	78	Шлахтер В.В.	Человек оружие. Курс профессиональной психофизической подготовки бойца	Шлахтер (Мастер) Человек оружие. Курс профессиональной психофизической подготовки бойца. СПб.: изд-во ТОО <Терция>, 1998. 160с.			other	Шлахтер В.В._Человек оружие. Курс профессиональной психофизической подготовки бойца#001G.zip
Прочая литература	Разное	79	Круковер В.	СОБАКА - ТЕЛОХРАНИТЕЛЬ				other	круковер в._собака - телохранитель#001H.zip
Прочая литература	Спорт	80	Мизиев И.М.	СЛЕДЫ НА ЭЛЬБРУСЕ (из истории горного туризма и отечественного альпинизма)				hum\мизиев и.м.	СЛЕДЫ НА ЭЛЬБРУСЕ (из истории горного туризма и отечественного альпинизма)#001Izip
Прочая литература	Спорт	81	Ситников М. В.	Самоучитель плаванию				other	ситников м. в._самоучитель плаванию#001J.zip
Техническая литература	Техника	82	Харитонов С.А., Сологуб С.А., Нагайцов М.В.	Автоматические коробки передач. Инструкция по эксплуатации, диагностике и техобслуживанию	"Харитонов С.А., Сологуб С.А., Нагайцов М.В. Автоматические коробки передач. Инструкция по эксплуатации, диагностике и техобслуживанию. М.: ""Легион-Автодата"", 2000. - 78 с.:ил."			tech	автоматические коробки передач#001K.zip
Прочая литература	Вождение	83	Цыганков Э.С.	Безопасное прохождение поворотов				other\цыганков э.с.	Безопасное прохождение поворотов#001Lzip
Прочая литература	Вождение	84	Цыганков Э.С.	ОБЕСПЕЧЕНИЕ ГОТОВНОСТИ К ЭКСТРЕННЫМ ДЕЙСТВИЯМ				other\цыганков э.с.	ОБЕСПЕЧЕНИЕ ГОТОВНОСТИ К ЭКСТРЕННЫМ ДЕЙСТВИЯМ#001Mzip
Прочая литература	Вождение	85	Цыганков Э.С.	Скоростное руление в критических ситуациях				other\цыганков э.с.	Скоростное руление в критических ситуациях#001Nzip
Прочая литература	Нумизматика	86		Банкноты НБРБ				other	банкноты нбрб#001O.zip
Прочая литература	Нумизматика	87		Памятные и юбилейные монеты Республики Беларусь				other	памятные и юбилейные монеты республики беларусь#001P.zip
Прочая литература	Разное	88	Владинец Н.И., Ильичев Л.И., Левитас И.Я. и др.	Большой филателистический словарь	"Большой филателистический словарь / Н. И. Владинец, Л. И. Ильичев, И. Я. Левитас и др.; под общ. ред. Н. И. Владинца и В. А. Якобса.- М.: Радио и связь, 1988.- с.: ил."			other	большой филателистический словарь#001Q.zip
Прочая литература	Нумизматика	89	СМИРНОВА Р.	Монетный двор на письменном столе				other	смирнова р._монетный двор на письменном столе#001R.zip
Прочая литература	Нумизматика	90	УЗДЕНИКОВ В.В.	МОНЕТЫ РОССИИ XVTII - начала XX века				other	уздеников в.в._монеты россии xvtii - начала xx века#001S.zip
Естествознание	Биол	91		Биосфера: Электронное учебное пособие				nature	биосфера#001T.zip
Естествознание	Биол	92		Биофилософия	Биофилософия. - М., 1997. - 264 с.			nature	биофилософия#001U.zip
Естествознание	Биол	93		Виды охраняемых дикорастущих растений, находящиеся под угрозой уничтожения	Справочник			nature	виды охраняемых дикорастущих растений, находящиеся под угрозой уничтожения#001V.zip
Естествознание	Биол	94		ПРАКТИЧЕСКАЯ МОЛЕКУЛЯРНАЯ БИОЛОГИЯ: краткое, практическое руководство по генной инженерии				nature	практическая молекулярная биология #001W.zip
Естествознание	Биол	95		Секреты аквариумного рыбоводства	"Составитель В.А. Смирнов.- М.: ""Нива России"", 1993"			nature	секреты аквариумного рыбоводства#001X.zip
Естествознание	Биол	96	Барбараш А.Н.	Геном многоклеточных				nature\барбараш а.н.	Геном многоклеточных#001Y.zip
Естествознание	Биол	97	Барышников Г.Ф.	СЕМЕЙСТВО МЕДВЕЖЬИ (CARNIVORA, URSIDAE)	"Барышников Г. Ф. Медвежьи (Carnivora, Ursidae). - СПб.: Наука, 2007. - 541 с. (Фауна России и сопредельных стран. Нов. сер., № 147; Млекопитающие; Т. I, выл. 5)."	Фауна России и сопредельных стран 	147	nature	барышников г.ф._семейство медвежьи (carnivora, ursidae)#001Z.zip
Естествознание	Биол	98	Бейкер С.	Как жить с собакой невротиком	Стивен Бейкер Как жить с собакой-невротиком How to Live with a Neurotic Dog Издательство: Попурри, 2004 г. 144 стр.			nature	бейкер с._как жить с собакой невротиком#001a.zip
Естествознание	Биол	99	Беляев Н.В.	Как ухаживать за кошками				nature	беляев н.в._как ухаживать за кошками#001b.zip
Естествознание	Биол	100	Бескоровайный А.	Грибы России				nature	бескоровайный а._грибы россии#001c.zip
Естествознание	Биол	101	Викторов С.В., Ремезова Г.Л.	Индикационная геоботаника	Викторов С.В., Ремезова Г.Л. Индикационная геоботаника: Учеб. пособие. - М.: Изд-во Моск. ун-та, 1988. - 168 с. -			nature	индикационная геоботаника#001d.zip
Естествознание	Биол	102	Владимиров Ю.А.	Физико-химические основы патологии клетки: курс лекций				nature	владимиров ю.а._физико-химические основы патологии клетки#001e.zip
Естествознание	Биол	103	Высоцкий В.Б.	Собака сопровождения	"Высоцкий В. Б. В93 Собака сопровождения / В.Б. Высоцкий; Худож. Н.Н. Колесниченко. - М.: ООО ""Издательство АСТ""; Донецк: ""Сталкер"", 2001. - 96 с: ил. - (В вашем доме)."	В вашем доме		nature	высоцкий в.б._собака сопровождения#001f.zip
Естествознание	Биол	104	Геллатли Дж. Уордл Т.	МОЛЧАЛИВЫЙ КОВЧЕГ				nature	геллатли дж. уордл т._молчаливый ковчег#001g.zip
Естествознание	Биол	105	Голубовский М. Д.	Век генетики: эволюция идей и понятий	Голубовский М. Д. Век генетики: эволюция идей и понятий. СПб.: Борей Арт, 2000. с. 262.			nature	голубовский м. д._век генетики. эволюция идей и понятий#001h.zip
Естествознание	Биол	106	Гржимек Б.	Животные рядом с нами	"Гржимек Б. ЖИВОТНЫЕ РЯДОМ С НАМИ / Пер. с нем.Ю. А. Зеленова; Ред. и посл. С. К. Клумова. - М., ""ПРОГРЕСС"" 1984"			nature	гржимек б._животные рядом с нами#001i.zip
Естествознание	Биол	107	Догель А.	Зоология беспозвоночных	МОСКВА <высшая школа> 1981			nature	догель а._зоология беспозвоночных#001j.zip
Естествознание	Биол	108	Жимулев И.Ф.	Общая и молекулярная генетика				nature	жимулев и.ф._общая и молекулярная генетика#001k.zip
Естествознание	Биол	109	Ильин М.Н.	Аквариумное рыбоводство	Ильин М.Н. Аквариумное рыбоводство Издательство Московского университета 1977			nature	ильин м.н._аквариумное рыбоводство#001l.zip
Естествознание	Биол	110	Капра Ф.	Паутина жизни. Новое научное понимание живых систем	"Капра Фритьоф - Паутина жизни. Новое научное понимание живых систем Пер. с англ. под ред. В. Г. Трилиса. К.: <София>; М.: ИД <София>, 2003. 336 с."			nature	капра ф._паутина жизни. новое научное понимание живых систем#001m.zip
Естествознание	Биол	111	Корзюков Ю.А.	Болезни аквариумных рыб (1979)	МОСКВА - КОЛОС - 1979			nature	корзюков ю.а._болезни аквариумных рыб (1979)#001n.zip
Естествознание	Биол	112	Кочетков С.М.	Советы и рецепты. кн.1 (аквариум)	Кочетов С.М., текст, иллюстрации, 1998			nature	кочетков с.м._советы и рецепты. кн.1 (аквариум)#001o.zip
Естествознание	Биол	113	Кочетов С.М.	Мир водных растений	АСТРЕЛЬ 1998			nature	кочетов с.м._мир водных растений#001p.zip
Естествознание	Биол	114	Крамер Пол Д., Козловский Теодор Т.	Физиология древесных растений				nature	физиология древесных растений#001q.zip
Естествознание	Биол	115	Кроми У.	Обитатели бездны				nature	кроми у._обитатели бездны#001r.zip
Естествознание	Биол	116	Мартынов А., Доманова Н., Симонов Е.	Сколько стоит живая природа. ЭКОЛОГО-ЭКОНОМИЧЕСКИЕ АСПЕКТЫ УСТОЙЧИВОГО развития.	Пособие для детей и министров (2)			nature	сколько стоит живая природа#001s.zip
Естествознание	Биол	117	Мартынов А., Рыжова Н., Рыжов И.	Природа и(ли) прибыль.	Пособие для детей и министров (3)			nature	природа и(ли) прибыль#001t.zip
Естествознание	Биол	118	Медников Б.М.	АКСИОМЫ БИОЛОГИИ	1982			nature	медников б.м._аксиомы биологии#001u.zip
Естествознание	Биол	119	МИХАЙЛОВ В.А.	Все о гуппи и других живородящих				nature	михайлов в.а._все о гуппи и других живородящих#001v.zip
Естествознание	Биол	120	Новиков В.С., Губанов И.А.	Школьный атлас-определитель высших растений	МОСКВА ПРОСВЕЩЕНИЕ 1985			nature	школьный атлас-определитель высших растений#001w.zip
Естествознание	Биол	121	Печуренко Л.	Биология и социальный прогресс				nature	печуренко л._биология и социальный прогресс#001x.zip
Естествознание	Биол	122	Чеховская Т.П., Щербаков Р.Л.	Ошеломляющее разнообразие жизни	Чеховская Т. П., Щербаков Р. Л. Ошеломляющее разнообразие жизни. 2-е изд. дораб. и доп. М.: Знание, 1990. 128 с.			nature	ошеломляющее разнообразие жизни#001y.zip
Естествознание	Биол	123	Шайтан К.В., Сарайкин С.С.	Молекулярная динамика	1999			nature	молекулярная динамика#001z.zip
Естествознание	Биол	124	Шелдрейк Р.	Новая наука о жизни	Шелдрейк Руперт Ш42 Новая наука о жизни/ Пер. с англ. Е. М. Егоровой.- М.: РИПОЛ классик, 2005.- 352 с: ил.- (Ноосфера).	Ноосфера		nature	шелдрейк р._новая наука о жизни#0020.zip
Естествознание	Биол. Антропогенез	125	Азимов А., Бойд У.	Расы и народы. Ген, мутация и эволюция человека.	"Азимов А., Бойд У. Расы и народы. Ген, мутация и эволюция человека. - М.: Центрполиграф, 2003. - 205, [1] с. : ил.; 18 см."			nature	расы и народы. ген, мутация и эволюция человека#0021.zip
Естествознание	Биол. Этология	126	Блэк Б.	Приматы гнева	"
Необычная тема для текстов Боба Блэка – животные в мире людей. Однако курьёзный, на первый взгляд, случай побега гориллы из зоопарка становится поводом для размышлений о том, что таится в сердцевине наших общественных процессов и отношений (спектакль, как его определил Ги Дебор), что стоит за расхожими выражениями вроде «цирка» (политика) и «зоопарка» (тюрьма), и как непреложная истина о том, что мы в ответе за тех, кого приручили, оборачивается организованной виной в предательстве."			nature	Блэк Б._Приматы гнева#0022.zip
Естествознание	Биол. Антропогенез	127	Джохансон Д., Иди М.	Люси. Истоки рода человеческого				nature	люси. истоки рода человеческого#0023.zip
Естествознание	Биол. Эволюция	128		Бактериальная палеонтология	"Бактериальная палеонтология. Российская академия наук, Палеонтологический институт; Московский государственный университет, Кафедра палеонтологии. Под ред. А.Ю. Розанова. - М.: ПИН РАН, 2002. - 188 с."			nature	бактериальная палеонтология#0024.zip
Естествознание	Биол. Эволюция	129	Алексеев А.С., Дмитриев В.Ю., Пономаренко А.Г.	ЭВОЛЮЦИЯ ТАКСОНОМИЧЕСКОГО РАЗНООБРАЗИЯ	А.С. Алексеев, В.Ю. Дмитриев, А.Г. Пономаренко Эволюция таксономического разнообразия. - М.: ГЕОС, 2001. -126 с., ил.			nature	эволюция таксономического разнообразия#0025.zip
Естествознание	Биол. Эволюция	130	АНДРЕЕВА С.И., АНДРЕЕВ Н.И.	ЭВОЛЮЦИОННЫЕ ПРЕОБРАЗОВАНИЯ ДВУСТВОРЧАТЫХ МОЛЛЮСКОВ АРАЛЬСКОГО МОРЯ В УСЛОВИЯХ ЭКОЛОГИЧЕСКОГО КРИЗИСА	Омск: Изд-во Омского государственного педагогического университета, 2003. 382 с.			nature	эволюционные преобразования двустворчатых моллюсков аральского моря#0026.zip
