РАЗДЕЛ	Метки	Номер	Автор	Название	Комментарий	Серия/цикл	Номер в серии	Папка	Файл
Социально-гуманитарная литература	соц. политика	1278	Сирота Н. М.	ГЛОБАЛИЗАЦИЯ: ПОЛИТИЧЕСКИЕ АСПЕКТЫ	"Сирота Н. М. С40 Глобализация: политические аспекты: учеб. пособие / Н. М. Сирота; ГУАП. - СПб., 2007. - 84 с. ISBN 5-8088-0220-2"			hum	сирота н. м._глобализация - политические аспекты#00Kc.zip
Социально-гуманитарная литература	соц. политика	1279	Слипченко В.	Война будущего (прогностический анализ).				hum	слипченко в._война будущего (прогностический анализ)#00Kd.zip
Социально-гуманитарная литература	соц. политика	1280	Сталин и.В.	Собрание сочинений				hum	сталин и.в._собрание сочинений#00Ke.zip
Социально-гуманитарная литература	соц. политика	1281	Стиглиц Дж. Ю.	Глобализация: тревожные тенденции.	Пер. с англ. М.: Мысль, 2003. 302 с.			hum	стиглиц дж. ю._глобализация - тревожные тенденции#00Kf.zip
Социально-гуманитарная литература	соц. политика	1282	Тарасов А.Н.	НЕОПРОВЕРЖИМЫЕ ДОКАЗАТЕЛЬСТВА				hum\тарасов а.н.	тарасов а.н._неопровержимые доказательства#00Kg.zip
Социально-гуманитарная литература	соц. политика	1283	Тодд Э.	После империи. Pax Americana - начало конца				hum	тодд э._после империи. pax americana - начало конца#00Kh.zip
Социально-гуманитарная литература	соц. политика	1284	Тэтчер М.	Искусство управления государством. Стратегии для меняющегося мира	Маргарет Тэтчер Т37 Искусство управления государством. Стратегии для меняющегося мира/Пер, с англ. М.: Альпина Паблишер, 2003. 504 с.			hum	тэтчер м._искусство управления государством. стратегии для меняющегося мира#00Ki.zip
Социально-гуманитарная литература	соц. политика	1285	Утяшев М.М., Утяшева Л.М.	ПРАВА ЧЕЛОВЕКА в современной России	Утяшев М.М., Утяшева Л.М. Права человека в современной России: Учебник для ВУЗов и средних учебных заведений. Уфа: полиграфкомбинат, 2003. 616 с.			hum	права человека в современной россии#00Kj.zip
Социально-гуманитарная литература	соц. политика	1286	Уэллс Г.Дж.	"""РОССИЯ ВО МГЛЕ"""				hum	уэллс г.дж._россия во мгле#00Kk.zip
Социально-гуманитарная литература	соц. политика	1287	Фукуяма Ф.	Конец истории и последний человек	"Перевод с английского М.Б. ЛевинаПубликуется по изданию ООО ""Издательство АСТ"", 2004 год."			hum	фукуяма ф._конец истории и последний человек#00Kl.zip
